M	lambda	SvN	d_SvN
64	0.02	1.31108282	0.03849099999999339
64	0.03	1.31060036	0.05827750000000265
64	0.04	1.30991727	0.07875400000000354
64	0.05	1.30902528	0.10022749999998837
64	0.06	1.30791272	0.12308199999999658
64	0.07	1.30656364	0.1478065000000015
64	0.08	1.30495659	0.1750394999999969
64	0.09	1.30306285	0.2056335000000047
64	0.1	1.30084392	0.24076050000000748
64	0.11	1.29824764	0.28212899999999763
64	0.12	1.29520134	0.3326904999999982
64	0.13	1.29159383	0.3982055000000031
64	0.14	1.28723723	0.4690570000000065
64	0.15	1.28221269	0.5454519999999903
64	0.16	1.27632819	0.6517589999999984
64	0.17	1.26917751	0.8107935000000097
64	0.18	1.26011232	1.0458005000000057
64	0.19	1.2482615	1.3872785000000007
64	0.2	1.23236675	1.883526500000002
64	0.21	1.21059097	2.5971965000000026
64	0.22	1.18042282	3.5774529999999984
64	0.23	1.13904191	4.9088205000000045
64	0.24	1.08224641	6.011642999999999
64	0.25	1.01880905	6.645088799999989
64	0.26	0.949344634	6.914967799999992
64	0.27	0.880509694	6.6262484499999985
64	0.28	0.816819665	6.035971550000006
64	0.29	0.759790263	5.38414245000002
64	0.3	0.709136816	4.7831846499999955
64	0.31	0.66412657	4.258909199999991
64	0.32	0.623958632	3.811727399999995
64	0.33	0.587892022	3.4326079999999983
64	0.34	0.555306472	3.109905000000005
64	0.35	0.525693922	2.8333075000000107
64	0.36	0.498640322	2.5943853499999996
64	0.37	0.473806215	2.386463150000001
64	0.38	0.450911059	2.2042511499999975
64	0.39	0.429721192	2.043531949999995
64	0.4	0.41004042	1.9009232500000017
64	0.41	0.391702727	1.7736917000000076
64	0.42	0.374566586	1.6596103999999947
64	0.43	0.358510519	1.556850899999997
64	0.44	0.343429568	1.4639007
64	0.45	0.329232505	1.3794993500000015
64	0.46	0.315839581	1.3025894000000005
64	0.47	0.303180717	1.2322776500000021
64	0.48	0.291194028	1.1678050499999966
64	0.49	0.279824616	1.1085227
64	0.5	0.269023574	1.080104200000003
128	0.01	1.46217507	0.027898999999997898
128	0.02	1.46189608	0.0373519999999985
128	0.03	1.46142803	0.056490499999995336
128	0.04	1.46076627	0.07623200000000452
128	0.05	1.45990339	0.09688499999998612
128	0.06	1.45882857	0.11878800000000922
128	0.07	1.45752763	0.14239099999998928
128	0.08	1.45598075	0.16829499999998632
128	0.09	1.45416173	0.19736700000001406
128	0.1	1.45203341	0.2309254999999979
128	0.11	1.44954322	0.27089050000000725
128	0.12	1.4466156	0.3200055000000077
128	0.13	1.44314311	0.38225049999999783
128	0.14	1.43897059	0.4636535000000066
128	0.15	1.43387004	0.573577499999999
128	0.16	1.42749904	0.7269689999999969
128	0.17	1.41933066	0.9485555000000119
128	0.18	1.40852793	1.3324844999999783
128	0.19	1.39268097	1.8436939999999993
128	0.2	1.37165405	2.5865990000000068
128	0.21	1.34094899	3.8158729999999963
128	0.22	1.29533659	5.605406499999994
128	0.23	1.22884086	7.519286500000014
128	0.24	1.14495086	8.812415500000007
128	0.25	1.05259255	9.01822589999999
128	0.26	0.964586342	8.295198299999996
