r	C(r)
462	-0.000473345680459647
463	3.272240739475574e-05
464	0.0004436100823873579
465	-0.0005506384427424182
466	0.00019811007014344795
467	0.00031149649155415293
468	-0.0005443970329194192
469	0.000302883951155436
470	0.00020497521020829135
471	-0.0005463942321464604
472	0.0004307998200961394
473	4.10491682649311e-05
474	-0.0004667095266731036
475	0.00048348204152776075
476	-7.928522585243236e-05
477	-0.00040071706521779826
478	0.0005470423936884267
479	-0.00023698154883501632
480	-0.00026434761755243785
481	0.0005289134802517331
482	-0.0003330027063741803
483	-0.00015536770520585552
484	0.0005187676490271687
485	-0.00044886706205271576
486	6.256144592126089e-06
487	0.0004303324424870941
488	-0.0004898380839354205
489	0.00012252888087603553
490	0.0003567284360751488
491	-0.0005400495709560887
492	0.0002719388107760984
493	0.00021714004247777585
494	-0.0005105640472618106
495	0.0003587803559555458
496	0.00010677526062288778
497	-0.0004891050942867625
498	0.0004624997103297446
499	-5.164557655529256e-05
500	-0.00039280542246784844
501	0.0004918728333710709
502	-0.0001630410657833259
503	-0.0003126523827048644
504	0.0005291679135979305
505	-0.00030363688434509317
506	-0.0001708400744452332
507	0.0004889297089896438
508	-0.0003809345991383495
509	-6.01162528423016e-05
510	0.00045700451920810403
511	-0.0004724903782829387
512	9.426631416777076e-05
513	0.0003537607975873519
514	-0.0004904264742116443
515	0.00020005004122497505
516	0.00026810388013873143
517	-0.000515297887772978
518	0.00033137821428139147
519	0.0001250529514209009
520	-0.00046493052289905967
521	0.0003988637696542563
522	1.4950287037018839e-05
523	-0.000423413504816339
524	0.0004783031338018995
525	-0.00013460677812116018
526	-0.00031413191562182363
527	0.00048505174348878466
528	-0.00023410517910493756
529	-0.00022400161822216935
530	0.000498034665641453
531	-0.00035578297525171165
532	-8.065190215464368e-05
533	0.0004382230823437028
534	-0.00041324769820133556
535	2.790462771162794e-05
536	0.0003879988229698733
537	-0.0004806902734740687
538	0.00017191529846952158
539	0.0002736068446052148
540	-0.0004765431734665426
541	0.0002645384548876778
542	0.00018001071295223325
543	-0.0004782256817870145
544	0.0003762548750162048
545	3.728073802963805e-05
546	-0.0004096680111256301
547	0.0004235827502382661
548	-6.88533848974271e-05
549	-0.0003516385672934219
550	0.0004792085647063321
551	-0.00020665221449461812
552	-0.00023304357222178607
553	0.00046453760227281593
554	-0.00029187093169380507
555	-0.00013696471853788528
556	0.00045554308070894223
557	-0.00039338746317639506
558	4.276234818745284e-06
559	0.00037898676151999766
560	-0.00043051860874745995
561	0.00010717351273814568
562	0.0003140570333316217
563	-0.0004745759810920458
564	0.0002381619795321921
565	0.00019217485372083343
566	-0.000449789251588506
567	0.0003155321027873692
568	9.456761505606537e-05
569	-0.0004307853378717613
570	0.0004066789886447014
571	-4.4346893693786305e-05
572	-0.0003469840363866661
573	0.00043364166100112733
574	-0.00014324449089014868
575	-0.000276065814449708
576	0.0004664332975244101
577	-0.00026688535067703745
578	-0.00015178604273602403
579	0.0004320093920550938
580	-0.00033602268988497386
581	-5.357085428345232e-05
